,Date,Label
1173,2022-11-25,High
1174,2022-11-28,High
1175,2022-11-29,High
1176,2022-11-30,High
1177,2022-12-01,High
1178,2022-12-02,Low
1179,2022-12-05,Low
1180,2022-12-06,Low
1181,2022-12-07,Low
1182,2022-12-08,High
1183,2022-12-09,Low
1184,2022-12-12,Low
1185,2022-12-13,High
1186,2022-12-14,High
1187,2022-12-15,Low
1188,2022-12-16,Low
1189,2022-12-19,High
1190,2022-12-20,Low
1191,2022-12-21,Low
1192,2022-12-22,Low
1193,2022-12-23,Low
1194,2022-12-26,High
1195,2022-12-27,High
1196,2022-12-28,High
1197,2022-12-29,High
1198,2022-12-30,Low
